Documento	Pregunta	Anotador	Respuesta	Comentarios
ld0056	¿En qué provincias se flexibilizó la cuarentena?	AD	También se autorizaron las obras públicas y privadas en [San Juan, Santa Cruz, Misiones, Entre Ríos, Mendoza y Neuquén].	
ld0056	¿Hasta cuándo durará el aislamiento obligatorio en Argentina?	AD	Según informó Tiempo Argentino, esta flexibilización de la cuarentena estará regulada, junto con la continuidad del aislamiento físico, preventivo y obligatorio que proseguirá al menos [hasta el 10 de mayo]. 	
ld0056	¿Cuáles son las zonas de Argentina más afectadas por el Covid?	AD	Las medidas se mantendrán en [la ciudad de Buenos Aires y en la zona metropolitana], ya que es en esa zona donde reside la mayor cantidad de infectados.	
ld0059	¿Cuándo va a realizar los pagos la UEFA?	AD	“Dados los retos de los clubes para afrontar sus compromisos financieros vigentes mientras sus ganancias caen durante los cierres relacionados con el covid-19, los pagos se realizarán [de inmediato]”, dictaminó el ente del fútbol europeo.	
ld0059	¿Quién es el Presidente de la UEFA?	AD	[Aleksander Čeferin], presidente de la UEFA, comentó: “Los clubes europeos son una parte integral del éxito de nuestras competiciones de selecciones nacionales.	
ld0059	¿Para cuándo le gustaría a la UEFA tener definida la clasificación?	AD	En lo posible, [antes de agosto]. 	
ld0059	¿Cuánto dinero se les va a adelantar a los clubes de la UEFA?	AD	El dinero se repartirá de la siguiente manera: [50 millones de euros para los clubes que han cedido jugadores a las 39 federaciones que no participan en los play off de los Clasificatorios Europeos; 17,7 millones de euros para los clubes que han cedido jugadores a las 16 federaciones que participan en los play off de los Clasificatorios Europeos]; el balance de 2,7 millones de euros relacionado con los jugadores cedidos para los play off será distribuido tras la finalización de estos partidos de play off.	
ld0061	¿Cómo se llama el documento que recoge los resultados del estudio realizado por el grupo de investigación de género?	AD	Los resultados del análisis fueron sintetizados en el documento [La romantización del “quédate en casa”], cuya conclusión principal es que la situación actual pone en evidencia “las desigualdades de género en el mundo laboral y en las tareas de cuidados”.	
ld0061	¿Cuántas mujeres viven solas con sus hijos?	AD	Y cuando no están presentes los varones en los hogares, ¿qué apoyos para el cuidado tienen las mujeres que viven solas con sus hijos ([11% de los hogares en Uruguay])?	
ld0061	¿Cuáles son los sectores económicos más afectados por la pandemia en los que trabajan las mujeres?	AD	Esto es porque los primeros sectores afectados por la crisis están altamente feminizados, como [el trabajo doméstico, los sectores vinculados al turismo o los servicios]. 	Qué pasa con el "como"?
ld0061	¿Cuáles grupos de personas son las más afectadas por el Covid?	AD	“Teniendo en cuenta que [los trabajadores y las trabajadoras con mayor desprotección, informales y que trabajan en base a jornales], van a recibir el mayor impacto de las repercusiones económicas que genere esta emergencia sanitaria, podemos afirmar que probablemente la pandemia vuelva más pobres y vulnerables a las mujeres”, aseguran.	
ld0062	¿A quién favorecen las medidas que está tomando el gobierno uruguayo?	AD	Pero si observamos las respuestas que algunos gobiernos ‒incluido el uruguayo‒ y las empresas están dando a la crisis, es posible entender que la orientación de las propuestas y respuestas que se ponen sobre la mesa es dar prioridad [al capital] por sobre la vida y los derechos de la clase trabajadora. 	
ld0062	¿Cuántos desempleados podría dejar la pandemia según la Organización Internacional del Trabajo?	AD	La Organización Internacional del Trabajo estimó en su optimista proyección inicial (marzo de 2020) que la cifra de desempleados a nivel mundial podría llegar a los [25 millones] de personas.	
ld0062	¿Quiénes son las personas más afectadas por la pandemia?	AD	Las/os principales afectadas/os en general son, como siempre, quienes más sufren las injusticias y los sistemas de opresión de clase, patriarcal y racista: [personas trabajadoras en condiciones de informalidad, cuentapropistas, monotributistas, independientes, de economías de plataformas, trabajadoras domésticas]. 	
ld0062	¿A cuántas personas dejaron de pagarle las empresas transnacionales de alimentos en Chile?	AD	Así, empresas transnacionales del sistema agroalimentario del porte de Starbucks o Burger King se acogieron a la ley y suspendieron el contrato de [aproximadamente 4.000] trabajadores/as.	
ld0062	¿De cuáles organizaciones internacionales se retiró Uruguay con el gobierno actual?	AD	En una de las agendas más invisibilizadas de Uruguay –la política internacional– el gobierno viene avanzando en un cambio de timón extremo que provocó la salida del país de [Telesur, del Banco del Sur, de la Unión de Naciones Suramericanas (Unasur)], en un fuerte alineamiento con la política del gobierno de Estados Unidos, incluso en su ataque constante contra el pueblo de Venezuela.	
ld0063	¿En qué países la pandemia afectó más a indígenas y afrodescendientes?	AD	En otros países, como [Ecuador, Brasil o Colombia], podemos ver que la herencia de la colonialidad en la región ha hecho que esta pandemia afecte diferencialmente a poblaciones indígenas y afrodescendientes. 	
ld0065	¿Dónde se puede realizar el cuestionario?	AD	A medio camino entre el juego y la encuesta, en una fase preliminar el portal [cuarentena.uy] desde hace 15 días recaba las impresiones sobre estos tiempos de pandemia.	
ld0065	¿Dónde se pueden ver los resultados?	AD	Conclusiones preliminares, que dan cuenta de cierta docilidad en la actitud local, pueden revisarse [en cuarentena.uy/resultados].	
ld0065	¿Cómo se llama quien tuvo la idea del portal?	AD	La verdad es que ahí me empezó a interesar más”, dice [Alejandro Maiche, profesor e investigador de la Facultad de Psicología de la Universidad de la República].	
ld0067	¿Cuánto aumentó el acceso a internet por cable y fibra óptica?	AD	Este aumento también fue notado en Antel: a principios de abril, la empresa de comunicaciones estatal reportó un aumento en el uso diario de [hasta 32%] en sus servicios de ADSL por cobre y por fibra óptica y de hasta 44% en sus servicios móviles.	
ld0067	¿Cuánto aumentó el acceso a internet por servicios móviles?	AD	Este aumento también fue notado en Antel: a principios de abril, la empresa de comunicaciones estatal reportó un aumento en el uso diario de hasta 32% en sus servicios de ADSL por cobre y por fibra óptica y de [hasta 44%] en sus servicios móviles.	
ld0067	¿Cuánto aumentó la venta de computadoras?	AD	En Estados Unidos, y basados en los datos de la consultora de mercado NPD Group, el aumento en la venta de computadoras fue de [40%], al que hay que agregarle 138% en monitores y 179% en cámaras web, respecto del mismo período de 2019.	
ld0067	¿Cuánto aumentó la venta de monitores?	AD	En Estados Unidos, y basados en los datos de la consultora de mercado NPD Group, el aumento en la venta de computadoras fue de 40%, al que hay que agregarle [138%] en monitores y 179% en cámaras web, respecto del mismo período de 2019.	
ld0067	¿Cuánto aumentó la venta de cámaras web?	AD	En Estados Unidos, y basados en los datos de la consultora de mercado NPD Group, el aumento en la venta de computadoras fue de 40%, al que hay que agregarle 138% en monitores y [179%] en cámaras web, respecto del mismo período de 2019.	
ld0067	¿Cuánto bajó la fabricación de dispositivos electrónicos a causa del confinamiento en China?	AD	Según la firma de análisis del mercado tecnológico Canalys, los retrasos causados por el freno en la producción de partes en China, producto de las medidas de confinamiento, generó una baja de [8% promedio] en la fabricación de dispositivos.	
ld0067	¿Cuál fue la empresa más afectada por la baja en producción de dispositivos electrónicos?	AD	La empresa más afectada sería [Apple], con una disminución de 20% en la producción de nuevos productos.	
ld0067	¿Cuánto bajó la producción de dispositivos electrónicos de Apple?	AD	La empresa más afectada sería Apple, con una disminución de [20%] en la producción de nuevos productos.	
ld0069	¿Cuáles fueron los países más afectados por el Covid?	AD	Aunque la mayoría de las epidemias detectadas en los países de Europa Occidental donde la covid-19 se ha manifestado de una manera particularmente agresiva ‒[Italia, España y Francia]‒ se estabilizaron e incluso están disminuyendo, Ghebreyesus se mostró preocupado por las tendencias al alta de casos que se están registrando en algunos países de África, América Central y del Sur, y Europa del Este.	
ld0069	¿Cuándo se declaró el estado de emergencia en el mundo por el Covid?	AD	“En retrospectiva, creo que declaramos la emergencia en el momento adecuado”, [el 30 de enero], explicó Ghebreyesus.	
ld0069	¿Qué presidente le quitó el financiamiento a la OMS?	AD	Por otra parte, el director general de la OMS rebatió las acusaciones de las que ha sido objeto en las últimas semanas por parte de varios gobiernos, entre ellos el del [estadounidense Donald Trump], que acusó a la entidad de ser proclive a los intereses chinos, por lo que decidió quitar el financiamiento que su país le otorga anualmente al organismo internacional.	
ld0070	¿Cuánto aumentará la cantidad de personas con hambruna a causa del Covid?	AD	El organismo prevé que el número de personas que hacen frente a la inseguridad alimentaria aguda aumentará a 265 millones en 2020, lo que significa un aumento de [130 millones] que se suman a los registrados en 2019, que fueron 135 millones.	
ld0070	¿Quién es el jefe de la WFP?	AD	El economista jefe del WFP, [Arif Husain], dijo que “la Covid-19 es potencialmente catastrófica para millones de personas cuyas vidas ya penden de un hilo.	
ld0072	¿Cuántas fases planea el gobierno de Estados Unidos para re-abrir el país tras la cuarentena?	AD	Publicadas en el sitio de la Casa Blanca, las pautas, “basadas en el asesoramiento de expertos en salud pública” y con el aval de los Centros de Control y Prevención de Enfermedades (CDC), abordan cómo ir relajando el distanciamiento social y retomar la actividad económica en [tres] fases.	
ld0072	¿Cada cuánto tiempo está previsto avanzar de una etapa a otra?	AD	Si todos estos criterios se cumplen, [cada 14 días] se podrá ir pasando de una etapa a la siguiente, siempre recordando que las personas deberán mantener sus prácticas de higiene (lavado de manos, toser en el codo, usar tapabocas en público, etcétera), que los empleadores deberán favorecer “el distanciamiento social y proveer equipo protector”, realizar chequeos de temperatura y, entre otras medidas, desinfectar regularmente las áreas de uso común.	
ld0072	¿Quién está evaluando la medida?	AD	Publicadas en el sitio de la Casa Blanca, las pautas, “basadas en el asesoramiento de expertos en salud pública” y con el aval de los [Centros de Control y Prevención de Enfermedades (CDC)], abordan cómo ir relajando el distanciamiento social y retomar la actividad económica en tres fases. 	
ld0077	¿Cada cuánto habría entrenamientos de fútbol en Uruguay cuando se reanuden?	AD	La idea es que esa reanudación sea en pequeños grupos y en distintos horarios, hacerlo [día por medio]”, agregó el futbolista de Cerrito.	
ld0077	¿Quién es el secretario de la Mutual Uruguaya de Futbolistas Profesionales?	AD	No hay que dar pasos en falso”, comentó el secretario de la Mutual Uruguaya de Futbolistas Profesionales, [Mitchell Duarte], en Deportes 930, de Radio Carve.	
ld0080	¿Por cuánto tiempo hay que lavarse las manos para evitar el Covid?	AD	Higienizarse las manos frecuentemente con agua y jabón (se recomienda que durante [más de 20 segundos]) o friccionándose con alcohol en gel.	
ld0080	¿Cuándo aparecen los síntomas de Covid?	AD	Los síntomas más habituales, que suelen aparecer de forma gradual [entre los dos y los 14 días después de haber contraído el virus], son fiebre, cansancio y tos seca.	
ld0080	¿Hasta cuánto tiempo después del contagio se pueden presentar síntomas de Covid?	AD	Si efectivamente tuviste contacto con el virus, los síntomas pueden manifestarse en los siguientes [14 días].	
ld0080	¿Qué porcentaje de personas fueron asintomáticas en Islandia?	AD	Por ejemplo, Islandia testeó a 6% de sus 360.000 habitantes y [50%] de los casos positivos correspondían a personas que no tenían ningún síntoma.	
ld0080	¿Qué porcentaje de personas con Covid van a CTI?	AD	Su ritmo de propagación es muy alto y  [alrededor de 5%] de quienes contraen la enfermedad precisará atención en CTI.	
ld0080	¿Qué porcentaje de personas con Covid van a CTI?	AD	Los casos de covid-19 que se han conocido hasta ahora indican que alrededor de 80% de las personas desarrolla síntomas leves y no precisa un tratamiento especial, en el entorno de 15% atraviesa una enfermedad grave que involucra dificultad para respirar y el [5%] restante ha precisado atención en CTI.	
ld0080	¿Qué porcentaje de personas presenta síntomas leves de Covid?	AD	Los casos de covid-19 que se han conocido hasta ahora indican que [alrededor de 80%] de las personas desarrolla síntomas leves y no precisa un tratamiento especial, en el entorno de 15% atraviesa una enfermedad grave que involucra dificultad para respirar y el 5% restante ha precisado atención en CTI.	
ld0080	¿Qué porcentaje de personas se enferma de forma grave de Covid?	AD	Los casos de covid-19 que se han conocido hasta ahora indican que alrededor de 80% de las personas desarrolla síntomas leves y no precisa un tratamiento especial, [en el entorno de 15%] atraviesa una enfermedad grave que involucra dificultad para respirar y el 5% restante ha precisado atención en CTI.	Y los que están en CTI?
ld0080	¿Cuándo se empezó a recomendar el uso de tapabocas?	AD	[En abril] varios países empezaron a recomendar el uso de tapabocas caseros a toda la población, algo que antes se restringía a los casos positivos o sospechosos y su entorno. 	
ld0080	¿Cada cuánto tiempo hay que cambiarse el tapabocas?	AD	Se recomienda hacer varios, ya que hay que cambiarlo [cuando está húmedo o cada cuatro horas], porque es cuando se convierte en un ambiente ideal para la reproducción de cualquier virus.	
ld0080	¿Quiénes tienen que hacer cuarentena obligatoria en Uruguay?	AD	No pueden salir de su casa [las personas que tengan un diagnóstico de covid-19 o que sospechen que pueden tener la enfermedad].	
ld0080	¿Cuántos tipos de coronavirus afectan a los humanos?	AD	Se sabe que [siete] de ellos pueden infectar a los humanos, cuatro causando infecciones respiratorias menores y los otros tres provocando enfermedades más graves.	
ld0080	¿Cuándo se descubrió el Covid-19?	AD	Se descubrió este nuevo coronavirus que afecta a humanos [en diciembre de 2019], en la provincia china de Wuhan. 	
ld0080	¿Dónde se descubrió el Covid-19?	AD	Se descubrió este nuevo coronavirus que afecta a humanos en diciembre de 2019, [en la provincia china de Wuhan]. 	
ld0080	¿Cuál es el nombre completo del covid?	AD	El nombre completo del virus es [SARS-CoV-2] y la enfermedad que causa es la covid-19.	
ld0080	¿Cuándo se dio a conocer el nombre completo del covid?	AD	El nombre de la afección fue dado a conocer [el 11 de febrero] por la OMS.	
ld0080	¿Quién le puso nombre completo al covid?	AD	El nombre de la afección fue dado a conocer el 11 de febrero por [la OMS].	
ld0080	¿Cuáles medicamentos sirvieron hasta ahora para tratar el covid?	AD	Entre ellos figuran [la cloroquina y la hidroxicloroquina], indicados para combatir la malaria, que han dado resultados promisorios, pero los estudios clínicos aún son escasos y con baja cantidad de pacientes.	
ld0002	¿Cuál era la fecha original del mundial de Fórmula 1?	AR	Previo a estas decisiones, desde la organización decidieron suspender el Gran Premio de Francia, con fecha fijada para el [28 de junio].	
ld0002	¿Qué medidas tomó el gobierno francés?	AR	La resolución se tomó teniendo en cuenta las medidas sanitarias adoptadas por el gobierno francés –[prohibición de aglomeraciones de gente]-, que seguirán vigentes para esos días.	
ld0002	¿Quién es Chase Carey?	AR	La buena nueva para los amantes de los fierros fue confirmada por Chase Carey, [director ejecutivo de la competencia], a través de un comunicado: “Nuestro objetivo es comenzar a competir en Europa en julio, agosto y principios de setiembre, y la primera carrera tendrá lugar en Austria el fin de semana del 3 al 5 de julio”. 	
ld0002	¿Quién es Chase Carey?	AR	El [CEO de la Fórmula 1], además, dijo que “setiembre, octubre y noviembre nos verían competir en Eurasia, Asia y América, terminando la temporada en el Golfo, en diciembre, con Baréin antes del final tradicional en Abu Dabi, completando entre 15 y 18 carreras. Publicaremos nuestro calendario finalizado tan pronto como sea posible”.	
ld0002	¿En dónde se va a hacer la primera carrera de Fórmula 1?	AR	Nuestro objetivo es comenzar a competir en Europa en julio, agosto y principios de setiembre, y la primera carrera tendrá lugar en [Austria] el fin de semana del 3 al 5 de julio.	
ld0005	¿Quién va a presentar un proyecto para estudiar el contagio de coronavirus en mascotas?	AR	Es por eso que hace diez días, desde la [Facultad de Veterinaria de la Universidad de la República] se dio a conocer el interés por elaborar un proyecto de investigación destinado a determinar la presencia o no de covid-19 en mascotas (perros y gatos) de personas que han dado positivo al test diagnóstico y en mascotas que a priori nunca estuvieron expuestas al virus, para poder comparar.	
ld0005	¿Quién va a presentar un proyecto para estudiar el contagio de coronavirus en mascotas?	AR	Si bien el proyecto aún se está elaborando y está sujeto a aprobación, el [doctor Alejandro Benech, grado 5 y director del Departamento de Pequeños Animales de dicha facultad], adelantó algunas de las etapas que tendría.	
ld0005	¿Qué es el ARN?	AR	Acá vale repasar algunos términos: el ARN es [una molécula presente en las células que se encarga de mediar entre la información almacenada en el ADN y la síntesis de proteínas adecuada].	
ld0005	¿Qué es el ARN?	AR	Para allanar el concepto, es [una especie de mensajero entre la información que existe y la producción de proteínas].	
ld0009	¿Quién es el Ministro de Salud de España?	AR	Esta es “la primera medida de alivio” del confinamiento ante el coronavirus, dijo el ministro de Salud, [Salvador Illa], quien celebró los datos que se conocieron ayer: por tercer día consecutivo hubo más pacientes recuperados que nuevos casos, y se produjeron menos fallecimientos que el sábado.	
ld0009	¿Qué medidas se deben tomar al aire libre en España?	AR	En las calles españolas, [se recomienda el uso de tapabocas, aunque no es obligatorio, y policías, a pie, en móviles e incluso en helicópteros, llamaban a las personas a mantener la distancia social].	
ld0009	¿Qué actividades al aire libre se permitirán próximamente en España?	AR	Los próximos pasos en este sentido serían las [salidas para hacer deporte de forma individual, los paseos en familia y paseos breves para las personas mayores].	
ld0073	¿Cuáles son las medidas sanitarias que se deben respetar durante la caravana del 1 de mayo 2020?	AD	Abdala sostuvo que esas condiciones serán, [por ejemplo, que en la caravana sólo pueda ir una persona por moto o bicicleta, no más de dos por auto –una persona adelante y otra atrás– y “todo el mundo con tapaboca”.]	
ld0073	¿Quiénes van a respaldar, en materia de seguridad, la caravana del 1 de mayo?	AD	En cuanto a la nueva propuesta, Larrañaga dijo que si bien todavía la central sindical no lo definió, en caso de que se haga lo anunciado por Abdala, [el MI “va a ayudar a la seguridad de esa caravana” con la Policía de Tránsito], a efectos de que pueda desarrollarse “en las mejores condiciones de seguridad para todos”.	
ld0073	¿Dónde se celebra el 1 de mayo 2020?	AD	Marcelo Abdala, recordó que si bien en principio la central sindical había concebido cuatro “reuniones” en distintas plazas públicas de Montevideo, el lugar de celebración de la jornada más importante tenía que ser [“la casa de familia” de cada uno de los trabajadores].	
ld0079	¿Cuáles son las empresas más afectadas por la pandemia?	AD	Los datos recogidos por la encuesta muestran que [las microempresas y las empresas del sector vinculado a los alojamientos y servicios de comida y comercio] son las más afectadas. 	
ld0079	¿Qué porcentaje de empresas están conformes con las medidas del gobierno?	AD	[35,4% considera que son “adecuadas” y 2,6% opina que se “ajustan perfectamente” a sus requerimientos].	!!!
ld0079	¿Qué porcentaje de empresas no pudo implementar las medidas promocionadas por el gobierno?	AD	A su vez, la mayoría de las empresas ([33,1%]) no pudieron acogerse a las medidas anunciadas por el gobierno, ya sea porque “no les corresponde o por el tipo de empresa (cantidad de empleados o naturaleza jurídica)”.	
ld0079	¿Cuáles son las medidas anunciadas por el gobierno que más implementaron las empresas?	AD	Las medidas que son mayormente adoptadas por las empresas son [las del seguro de paro flexible (26,7%) y el aplazamiento de aportes tributarios (20,2%)].	
ld0079	¿Qué porcentaje de empresas adoptaron la medida de seguro de paro flexible?	AD	Las medidas que son mayormente adoptadas por las empresas son las del seguro de paro flexible ([26,7%]) y el aplazamiento de aportes tributarios (20,2%).	
ld0079	¿Qué porcentaje de empresas adoptaron la medida de aplazamiento de aportes tributarios?	AD	Las medidas que son mayormente adoptadas por las empresas son las del seguro de paro flexible (26,7%) y el aplazamiento de aportes tributarios ([20,2%]).	
ld0079	¿Qué porcentaje de empresas recogió caídas en sus niveles de venta?	AD	Del total de empresas encuestadas, [86,9%] registró caídas en su niveles de venta.	
ld0079	¿Qué tipo de empresa registró más caída en sus niveles de venta?	AD	De ese total, [las microempresas] son las más afectadas: 91,4% reconoce haber disminuido sus ventas.	
ld0079	¿Qué tipo de empresa registró más caída en sus niveles de venta?	AD	En el caso de los sectores, casi el total de [las empresas de alojamiento y servicios de comida] (96,3%) evidenciaron una “contracción” en sus niveles de venta luego de la declaración de emergencia sanitaria.	
ld0079	¿Qué porcentaje de microempresas registró caída en las ventas?	AD	De ese total, las microempresas son las más afectadas: [91,4%] reconoce haber disminuido sus ventas.	
ld0079	¿Qué porcentaje de empresas de alojamiento y comida registró caídas en las ventas?	AD	En el caso de los sectores, casi el total de las empresas de alojamiento y servicios de comida ([96,3%]) evidenciaron una “contracción” en sus niveles de venta luego de la declaración de emergencia sanitaria.	
ld0079	¿Qué porcentaje de empresas de construcción registró caídas en las ventas?	AD	Luego le sigue la construcción -[88,9%] de empresas que vieron afectadas sus ventas-, y los comercios minoristas y mayoristas (88,4%).	
ld0079	¿Qué porcentaje de comercios minoristas y mayoristas registró caídas en las ventas?	AD	Luego le sigue la construcción -88,9% de empresas que vieron afectadas sus ventas-, y los comercios minoristas y mayoristas ([88,4%]).	
ld0079	¿Qué proporción de empresas mandaron empleados a seguro de desempleo?	AD	Según el informe, [seis de cada diez empresas] declararon haber enviado trabajadores al seguro de desempleo.	
ld0079	¿Cuál es el sector que envió a más trabajadores a seguro de desempleo?	AD	Si se analiza por rubro, [el sector de alojamiento y servicios de comida] es el que más ha enviado trabajadores al seguro de desempleo (81,5%), le sigue el sector de comercio minorista y mayorista (66,9%) y en tercer lugar la industria manufacturera (60%).	
ld0079	¿Qué porcentaje de empresas del sector de alojamiento y comida mandó a sus trabajadores a seguro de desempleo?	AD	Si se analiza por rubro, el sector de alojamiento y servicios de comida es el que más ha enviado trabajadores al seguro de desempleo ([81,5%]), le sigue el sector de comercio minorista y mayorista (66,9%) y en tercer lugar la industria manufacturera (60%).	
ld0079	¿Qué porcentaje de empresas de comercio mandó a sus trabajadores a seguro de desempleo?	AD	Si se analiza por rubro, el sector de alojamiento y servicios de comida es el que más ha enviado trabajadores al seguro de desempleo (81,5%), le sigue el sector de comercio minorista y mayorista ([66,9%]) y en tercer lugar la industria manufacturera (60%).	
ld0079	¿Qué porcentaje de empresas del sector manufacturero mandó a sus trabajadores a seguro de desempleo?	AD	Si se analiza por rubro, el sector de alojamiento y servicios de comida es el que más ha enviado trabajadores al seguro de desempleo (81,5%), le sigue el sector de comercio minorista y mayorista (66,9%) y en tercer lugar la industria manufacturera ([60%]).	
ld0079	¿Qué porcentaje de empresas mandó a más del 75% de sus empleados a seguro de desempleo?	AD	Del total de empresas que han enviado a los trabajadores al seguro de desempleo, [41,2%] envió a más de 75% de su personal.	
ld0079	¿Cuántas empresas mandaron a sus empleados a seguro de paro parcial?	AD	[Del total de empresas que enviaron al seguro de paro, la mitad] lo hicieron en la modalidad de seguro de paro parcial.	
ld0079	¿Cuántas empresas no están en condiciones de pagar los salarios?	AD	En cuanto a los Consejos de Salarios, [10%] de las empresas dice no estar en condiciones de pagar los salarios acordados, 50% entiende que no están dadas las condiciones para llamar a una nueva ronda de Consejos de Salarios y 30% cree que se deberían aplicar los descuelgues de “acuerdo a la realidad de cada empresa”.	
ld0079	¿Cuántas empresas no quieren llamar a una nueva ronda de Consejo de Salarios?	AD	En cuanto a los Consejos de Salarios, 10% de las empresas dice no estar en condiciones de pagar los salarios acordados, [50%] entiende que no están dadas las condiciones para llamar a una nueva ronda de Consejos de Salarios y 30% cree que se deberían aplicar los descuelgues de “acuerdo a la realidad de cada empresa”.	
ld0082	¿Cuándo se reanudaría el trabajo judicial tras la Feria Judicial Sanitaria?	AD	Luego viene un fin de semana (2 y 3 de mayo), por lo cual la actividad judicial se reanudaría recién [el lunes 4 de mayo].	
ld0082	¿Quién resolvió hacer la Feria Judicial Sanitaria?	AD	Pero debido a la pandemia y a la cuarentena, desde el 14 de marzo del corriente año, [la Suprema Corte de Justicia (SCJ, órgano máximo de nuestro Poder Judicial)] resolvió comenzar una Feria Judicial Sanitaria que en principio se extenderá, según la propia SCJ, hasta el jueves 30 de abril. 	
ld0083	¿Cómo se llama el proyecto para paliar las consecuencias de la crisis sanitaria para los artistas?	AD	Una de las acciones del Ministerio de Educación y Cultura destinadas al sector que se dieron a conocer en los últimos días en el marco del proyecto [CulturaenCasa.uy] es un llamado a formadores para dar cursos en línea (bajo una remuneración de 10.000 pesos por curso), como forma de paliar la crisis laboral de los artistas.	
ld0083	¿Cuándo se declaró la emergencia sanitaria en Uruguay?	AD	[El 13 de marzo], en el momento en que Uruguay declaraba estado de emergencia sanitaria, con el equipo de Doméstica realidad nos encontrábamos en la sala Atahualpa del teatro El Galpón, donde nos preparábamos para nuestra segunda función con público.	
